user_id,login_score,module_score,module_frequency_score
541,4,4,2
300,4,2,0
343,4,8,6
2646,4,6,2
600,3,6,2
512,4,8,4
582,4,8,4
803,3,6,2
547,2,0,0
661,4,6,2
676,2,4,2
1838,4,6,2
1369,3,4,4
979,4,8,6
1673,0,0,0
1396,4,8,4
1762,4,4,2
1142,0,0,0
772,4,8,2
490,4,6,6
959,0,0,0
2322,4,6,4
1739,3,2,0
2066,3,6,2
2352,0,0,0
2271,1,0,0
2297,4,6,2
767,3,6,4
1757,1,2,0
2039,4,4,2
1241,4,8,4
1709,4,2,0
2711,0,0,0
711,2,4,2
746,4,6,2
1784,2,0,0
554,4,4,2
1424,4,4,4
1291,4,2,0
228,0,0,0
214,3,4,4
1961,4,8,6
1124,4,6,2
313,0,0,0
1786,4,8,4
790,3,6,2
1718,1,0,0
2024,4,8,2
2834,4,8,2
2571,0,0,0
1094,3,0,0
533,4,8,4
2435,4,6,4
1988,4,8,6
2108,4,2,0
796,4,2,0
1562,4,6,4
2222,1,2,0
2061,4,8,6
1800,4,4,4
2792,3,0,0
2686,1,0,0
1467,4,6,2
2051,0,0,0
517,0,0,0
1249,4,6,4
1061,4,8,4
1418,3,4,2
1895,4,6,6
943,0,0,0
381,4,4,4
2265,3,6,2
283,4,8,2
2219,0,0,0
552,3,4,4
683,3,4,2
2656,0,0,0
1756,4,6,2
403,4,6,4
2556,0,0,0
2733,4,0,0
1484,4,8,6
549,4,4,2
2354,4,8,4
1909,4,8,2
1490,4,6,4
2515,4,4,2
2209,4,8,2
1915,4,8,2
1553,3,8,6
2467,1,2,0
1960,0,0,0
1820,4,4,2
1505,4,8,6
2500,4,6,2
1504,4,8,4
1717,4,8,2
1288,0,0,0
298,3,6,2
1486,0,0,0
410,4,4,2
1414,4,4,4
2477,3,4,2
1417,4,8,2
765,0,0,0
299,0,2,0
2448,2,6,4
2140,4,4,2
307,1,2,0
2139,2,4,2
889,2,4,4
1932,4,6,2
2170,2,4,2
586,0,0,0
2663,0,0,0
1133,4,8,4
1722,1,2,0
2363,4,8,2
536,4,6,2
2639,0,0,0
1431,4,6,4
1299,4,8,6
440,0,0,0
2116,4,2,0
2543,4,0,0
551,1,0,0
1701,2,4,4
1792,0,0,0
1703,4,4,2
1128,3,6,6
1289,4,4,2
2299,4,8,4
2273,0,0,0
1335,0,0,0
1163,4,6,2
557,4,4,2
1887,3,6,2
2126,4,6,6
1687,4,4,2
1726,4,8,4
375,4,6,4
672,4,8,2
1067,4,6,6
1966,4,8,6
1235,4,8,2
1184,4,4,4
1254,4,8,2
274,4,8,2
226,4,6,4
2376,2,4,4
2540,4,8,2
370,2,4,4
1012,4,6,4
1400,4,4,4
2172,4,2,0
1361,4,4,2
1810,4,4,2
1768,4,6,2
1024,2,4,2
727,0,0,0
580,4,2,0
1875,1,2,0
1995,4,4,2
1458,4,4,2
1488,1,2,0
1894,4,6,4
2546,4,4,2
1560,4,8,2
2473,4,0,0
1343,4,8,2
565,0,0,0
560,4,6,4
2241,4,6,2
613,0,0,0
308,0,0,0
1040,0,0,0
2519,0,0,0
2557,4,8,4
458,4,8,2
2334,2,4,2
744,4,8,2
2175,4,2,0
2705,4,6,2
404,4,6,4
800,4,8,2
385,3,6,2
333,1,0,0
514,0,4,2
548,3,6,2
2585,2,0,0
2721,4,0,0
1370,4,8,4
1366,0,0,0
1194,1,2,0
2414,4,8,2
2443,4,8,4
1862,4,8,8
2617,0,0,0
2283,4,2,0
1559,3,2,0
2367,4,4,4
1837,3,6,4
2006,4,8,8
599,0,6,2
2568,4,4,2
485,3,6,2
794,3,2,0
2494,4,8,4
2021,2,2,0
451,4,6,4
448,0,2,0
2771,2,4,2
1746,4,4,2
1844,4,8,2
725,3,6,2
740,4,8,2
737,2,2,0
982,4,8,6
1779,4,6,6
2712,0,0,0
1891,4,8,4
2351,0,0,0
1691,4,8,8
2023,4,6,2
2145,4,6,4
1900,0,0,0
1903,4,8,4
2478,4,4,2
2559,0,6,2
1950,4,6,2
2130,3,8,4
2434,4,8,2
594,4,6,4
721,4,6,2
2614,1,2,0
1026,0,0,0
267,2,4,2
2431,4,8,4
369,3,2,0
2741,4,8,4
1740,4,8,4
2513,4,8,4
559,4,6,4
1807,3,4,4
1459,4,8,4
2685,0,0,0
1879,4,4,2
2085,2,4,2
1375,4,8,4
2763,1,0,0
1382,4,8,4
2303,4,8,4
2445,4,6,6
1544,0,0,0
1403,4,4,4
2402,4,8,2
2356,3,4,2
2370,4,6,6
1426,4,8,4
466,4,8,2
2485,4,8,6
2160,4,4,4
2726,0,0,0
2047,0,0,0
1153,4,4,2
1157,4,6,4
2760,4,0,0
699,0,2,0
1893,4,4,2
2598,4,2,0
1129,4,6,2
705,2,4,2
1454,4,8,4
1465,4,0,0
520,4,6,2
263,4,4,4
2658,0,0,0
2532,3,6,2
2430,3,6,2
383,2,4,2
1536,2,4,2
2822,4,8,2
470,4,8,2
372,0,0,0
1682,4,8,4
2635,3,2,0
249,4,6,2
1401,0,2,0
2276,4,4,2
1487,4,8,6
1716,4,8,4
1132,4,4,2
788,4,8,4
680,4,2,0
2214,2,4,4
2001,0,0,0
1449,0,0,0
2302,4,8,2
1743,4,8,8
515,2,4,4
2780,4,0,0
1843,4,8,6
1929,4,2,0
302,4,8,4
669,3,4,4
1540,2,4,4
578,4,8,2
694,3,4,2
841,4,8,4
789,3,8,6
2316,0,2,0
209,4,8,2
1162,4,8,4
1876,0,2,0
736,0,0,0
1052,0,0,0
303,4,6,6
1062,0,0,0
1170,2,6,4
442,4,4,2
2471,2,4,2
1767,0,0,0
1070,2,4,2
290,0,0,0
